       File Name		  sp_left		 sp_right		Avg Speed		AvgAngSpd
RW05_06_2017_355		   160.00		   185.00		    58.29		    -0.05
RW05_06_2017_356		   160.00		   185.00		   131.44		     0.67
RW05_06_2017_357		   160.00		   185.00		    92.87		     1.71
RW05_06_2017_358		   160.00		   185.00		   151.45		     2.03
RW05_06_2017_359		   160.00		   185.00		    44.91		     0.73
RW05_06_2017_360		  9999.00		  9999.00		   165.46		    -0.97
RW05_06_2017_361		   160.00		   185.00		   134.57		    -0.36
RW05_06_2017_362		   160.00		   185.00		   214.16		    -0.33
RW05_06_2017_363		   160.00		   185.00		   130.13		     0.24
RW05_06_2017_364		   160.00		   210.00		   157.02		     2.85
RW05_06_2017_365		   160.00		   210.00		     3.71		    -0.45
RW05_06_2017_366		   160.00		   210.00		   176.77		     0.00
RW05_06_2017_367		   160.00		   210.00		   220.22		    -0.37
RW05_06_2017_368		   160.00		   210.00		   222.70		     0.60
RW05_06_2017_369		   160.00		   210.00		   143.22		     0.50
RW05_06_2017_370		   160.00		   210.00		   244.21		     0.13
RW05_06_2017_371		   160.00		   235.00		   164.98		    -0.45
RW05_06_2017_372		   160.00		   235.00		    75.71		     1.38
RW05_06_2017_373		   160.00		   235.00		   144.31		     1.58
RW05_06_2017_374		  9999.00		  9999.00		   333.13		     0.24
RW05_06_2017_375		   160.00		   235.00		   286.57		     1.68
RW05_06_2017_376		   160.00		   235.00		   304.42		     0.86
RW05_06_2017_377		   160.00		   235.00		   242.41		     0.27
RW05_06_2017_378		   160.00		   255.00		    27.43		    -0.07
RW05_06_2017_379		   160.00		   255.00		   272.06		     1.03
RW05_06_2017_380		   160.00		   255.00		   272.98		     0.37
RW05_06_2017_381		   160.00		   255.00		   177.01		     0.70
RW05_06_2017_382		   160.00		   255.00		   251.13		     1.16
RW05_06_2017_383		   185.00		   160.00		   160.36		     0.05
RW05_06_2017_384		   185.00		   160.00		   192.97		    -0.06
RW05_06_2017_385		   185.00		   160.00		   150.54		    -1.08
RW05_06_2017_386		   185.00		   160.00		   178.38		    -1.00
RW05_06_2017_387		  9999.00		  9999.00		    -7.67		    -1.81
RW05_06_2017_388		   185.00		   185.00		   287.31		    -0.19
RW05_06_2017_389		  9999.00		  9999.00		   202.68		     1.24
RW05_06_2017_390		   185.00		   185.00		   277.58		     1.39
RW05_06_2017_391		   185.00		   185.00		   132.27		     1.39
RW05_06_2017_392		   185.00		   185.00		   207.59		     0.57
RW05_06_2017_393		   185.00		   210.00		   275.31		     0.03
RW05_06_2017_394		   185.00		   210.00		   322.52		     0.49
RW05_06_2017_395		   185.00		   210.00		   393.37		     0.34
RW05_06_2017_396		   185.00		   210.00		   123.92		    -0.07
RW05_06_2017_397		   185.00		   210.00		   151.05		     0.74
RW05_06_2017_398		   185.00		   210.00		   327.93		     0.24
RW05_06_2017_399		   185.00		   235.00		   318.70		     0.42
RW05_06_2017_400		   185.00		   235.00		   321.38		     0.28
RW05_06_2017_401		   185.00		   235.00		   338.78		     0.23
RW05_06_2017_402		   185.00		   255.00		   302.56		     0.51
RW05_06_2017_403		   185.00		   255.00		   213.54		     1.03
