   File Name		  sp_left		 sp_right		Avg Speed		AvgAngSpd
31_05_2017_170		   235.00		   255.00		   331.07		     0.21
31_05_2017_171		   235.00		   255.00		   388.49		     0.08
31_05_2017_172		   235.00		   255.00		   197.05		     0.15
31_05_2017_173		   235.00		   255.00		   244.74		     0.09
31_05_2017_174		   235.00		   255.00		   280.22		     0.07
31_05_2017_175		   235.00		   255.00		   311.16		     0.19
31_05_2017_176		   235.00		   255.00		   156.84		     0.05
31_05_2017_177		   235.00		   255.00		   299.87		     0.10
31_05_2017_178		   235.00		   255.00		   342.30		     0.13
31_05_2017_179		   255.00		   160.00		  -186.40		     0.21
31_05_2017_180		   255.00		   160.00		   133.86		    -0.72
31_05_2017_181		   255.00		   160.00		   171.77		    -0.91
31_05_2017_182		   255.00		   160.00		   126.26		     0.09
31_05_2017_183		   255.00		   160.00		   254.61		    -0.80
31_05_2017_184		   255.00		   160.00		   238.13		    -0.83
31_05_2017_185		   255.00		   160.00		   195.49		    -0.94
31_05_2017_186		   255.00		   160.00		   149.07		    -0.59
31_05_2017_187		   255.00		   160.00		   148.54		    -0.66
31_05_2017_188		   255.00		   160.00		   178.29		    -0.89
31_05_2017_189		   255.00		   185.00		   131.11		    -0.55
31_05_2017_190		   255.00		   185.00		   227.11		    -0.23
31_05_2017_191		   255.00		   185.00		   288.21		    -0.35
31_05_2017_192		   255.00		   210.00		   271.86		    -0.15
31_05_2017_193		   255.00		   210.00		   321.18		    -0.13
31_05_2017_194		   255.00		   210.00		   362.65		    -0.16
31_05_2017_195		   235.00		   255.00		     7.46		    -0.91
31_05_2017_196		   255.00		   235.00		   340.40		    -0.04
31_05_2017_197		   255.00		   235.00		   354.48		    -0.07
31_05_2017_198		   255.00		   235.00		   278.94		    -0.06
31_05_2017_199		   255.00		   255.00		   365.99		     0.03
31_05_2017_200		   255.00		   255.00		   260.07		     0.09
31_05_2017_201		   255.00		   255.00		   425.93		    -0.04
